transaction_id,timestamp_utc,debit_entity,credit_conduit_account,amount_inr,settlement_type,currency,intermediary_city,narration_code,flag
TRX-88219-01,2026-09-22T04:15:00Z,Al-Barakah Logistics FZE (UAE),HDFC-CONDUIT-9921,12500000,HAWALA_MIRROR,INR,Surat,REF-DUNE-TRANCHE-A,CRITICAL_AML_STR
TRX-88219-02,2026-09-22T04:22:00Z,Al-Barakah Logistics FZE (UAE),ICICI-CONDUIT-4412,12000000,HAWALA_MIRROR,INR,Ahmedabad,REF-DUNE-TRANCHE-B,CRITICAL_AML_STR
TRX-88219-03,2026-09-22T04:31:00Z,Al-Barakah Logistics FZE (UAE),AXIS-CONDUIT-1182,13000000,HAWALA_MIRROR,INR,Gandhidham,REF-DUNE-TRANCHE-C,CRITICAL_AML_STR
TRX-88219-04,2026-09-22T04:45:00Z,Al-Barakah Logistics FZE (UAE),KOTAK-CONDUIT-8841,11500000,HAWALA_MIRROR,INR,Surat,REF-DUNE-TRANCHE-D,CRITICAL_AML_STR
TRX-88219-05,2026-09-22T05:01:00Z,Al-Barakah Logistics FZE (UAE),SBI-COMM-BROKER-771,15000000,HAWALA_MIRROR,INR,Mumbai,REF-DUNE-TRANCHE-E,CRITICAL_AML_STR
TRX-88219-06,2026-09-22T05:14:00Z,Al-Barakah Logistics FZE (UAE),PNB-CONDUIT-3321,14800000,HAWALA_MIRROR,INR,Surat,REF-DUNE-TRANCHE-F,CRITICAL_AML_STR
TRX-88219-07,2026-09-22T05:30:00Z,Al-Barakah Logistics FZE (UAE),YES-CONDUIT-9102,12200000,HAWALA_MIRROR,INR,Bhavnagar,REF-DUNE-TRANCHE-G,CRITICAL_AML_STR
TRX-88219-08,2026-09-22T05:48:00Z,Al-Barakah Logistics FZE (UAE),INDUS-CONDUIT-6612,13500000,HAWALA_MIRROR,INR,Vadodara,REF-DUNE-TRANCHE-H,CRITICAL_AML_STR
TRX-88219-09,2026-09-22T06:05:00Z,Al-Barakah Logistics FZE (UAE),IDBI-CONDUIT-4912,11200000,HAWALA_MIRROR,INR,Surat,REF-DUNE-TRANCHE-I,CRITICAL_AML_STR
TRX-88219-10,2026-09-22T06:22:00Z,Al-Barakah Logistics FZE (UAE),BOB-CONDUIT-8812,14100000,HAWALA_MIRROR,INR,Jamnagar,REF-DUNE-TRANCHE-J,CRITICAL_AML_STR
TRX-88219-11,2026-09-22T06:40:00Z,Al-Barakah Logistics FZE (UAE),FED-CONDUIT-7291,12800000,HAWALA_MIRROR,INR,Porbandar,REF-DUNE-TRANCHE-K,CRITICAL_AML_STR
TRX-88219-12,2026-09-22T07:00:00Z,Al-Barakah Logistics FZE (UAE),RBL-CONDUIT-1902,5200000,HAWALA_MIRROR,INR,Surat,REF-DUNE-TRANCHE-L,CRITICAL_AML_STR
